movie_id,director_id
423,3556
2757,5953
590,468
1574,17633
129,608
4147,39
1430,17087
194819,87091
194819,1359897
1591,4522
1360,16391
65,323
27042,97000
115479,208175
121,108
64,309
322,190
504,6884
2289,2239
12,7
122,108
8619,2690
12698,18533
26753,96148
11042,38516
21131,92733
204781,58292
153,1769
1677,18596
70,190
2567,1032
9806,7087
1392,53385
1392,53384
245005,43980
1913,19840
11774,11887
866,12995
1653,8574
48329,148317
44472,71082
558,7623
9675,13235
38,201
398,5345
231,2945
69,366
1985,8557
533,7313
533,7314
1904,17633
142,1614
1667,18525
245013,203953
1640,455
868,13079
411,5524
9470,57607
44360,1122063
25126,54472
254,108
1523,17350
773,16959
773,16960
1165,3224
1125,15557
9836,20629
1417,10828
1887,1769
1422,1032
1781,19012
170057,66168
582,8193
1164,223
38635,1178822
31073,991868
1251,190
58,1704
7345,4762
6977,1224
6977,1223
1407,16919
4566,19242
2062,7087
13885,510
4517,37630
13362,71797
245025,1107494
2503,25598
7862,15115
4347,36588
5723,45117
112202,93723
